Report generated: 2025-10-09T12:20:27.895Z
Name | ID | AddedDate
Street Fighter V: Type Arcade | StreetFighterVTypeArcade | 
Street Fighter V: Type Arcade Version 3.53 / 4.12 | StreetFighterVTypeArcade353 | 
Street Fighter Zero 3 for NESiCAxLive | StreetFighterZero3 | 
Suggoi! Arcana Heart 2 for NESiCAxLive | SuggoiArcanaHeart2Nesica | 
Super Dragon Ball Z | superdbz | 
Super Street Fighter IV: Arcade Edition | SuperStreetFighterIVArcadeEdition | 
Super Street Fighter IV: Arcade Edition (Export) | SuperStreetFighterIVArcadeEditionEXP | 
Super Street Fighter IV: Arcade Edition Ver. 2012 | SuperStreetFighterIVArcadeEditionVer2012 | 
Sega World Drivers Championship | SWDC | 
Taiko no Tatsujin Nijiiro Ver | Taiko | 
Taiko no Tatsujin: Blue Version | taikoblue | 
Taiko no Tatsujin: Green Version | taikogreen | 
Taiko no Tatsujin: Kimidori Version | taikokimidori | 
Taiko no Tatsujin: Momoiro Version | taikomomoiro | 
Taiko no Tatsujin: Murasaki Version | taikomurasaki | 
Taiko no Tatsujin: Red Version | taikored | 
Taiko no Tatsujin: Sorairo Version | taikosorairo | 
Taiko no Tatsujin: White Version | taikowhite | 
Taiko no Tatsujin: Yellow Version | taikoyellow | 
Taisen Hot Gimmick 5: Mirai Eigou | TaisenHotGimmick5 | 
Taisen Mix Party | TaisenMixParty | 
Tank! Tank! Tank! | TankTankTank | 
Target: Terror Gold | TargetTerrorGold | 
Target Toss Pro Bags | TargetTossProBags | 
Target Toss Pro Lawn Darts | TargetTossProLawndarts | 
Tatsunoko vs. Capcom | tatsuvscap | 
Time Crisis 5 | TC5 | 
Tekken 4 | tekken4 | 
Tekken 5.1 | tekken51 | 
Tekken 5: Dark Resurrection | tekken5d | 
Tekken 6 | Tekken6 | 
Tekken 6: Bloodline Rebellion | Tekken6BR | 
Tekken 7 | Tekken7 | 
Tekken 7: Fated Retribution | Tekken7FR | 
Tekken 7: Fated Retribution - Round 2 | Tekken7R2 | 
Terminator Salvation | Terminator | 
Tetris: The Grand Master 3 - Terror-Instinct | TetrisTheGrandMaster3TerrorInstinct | 
The Act | TheAct | 
Theatrhythm Final Fantasy: All-Star Carnival | Theatrhythm | 
Time Crisis 3 | timecrs3 | 
Time Crisis 4 | timecrs4 | 
Tippin' Bloks' | TippinBloks | 
Teenage Mutant Ninja Turtles | TMNT | 
Tokyo Cop | TokyoCop | 
Tomb Raider | TombRaider | 
Tottemo E Mahjong | TottemoEMahjong | 2024-12-15
Transformers: Human Alliance | Transformers | 
Transformers: Shadows Rising | TransformersShadowsRising | 
Trouble Witches AC | TroubleWitches | 
Trouble Witches AC for NESiCAxLive | TroubleWitchesNesica | 
Tekken Tag Tournament 2 | ttt2 | 
Tekken Tag Tournament 2 Unlimited | ttt2u | 
Under Defeat HD+ | UDX | 
Ultimate Arctic Thunder | UltimateArcticThunder | 
Ultra Street Fighter IV | UltraStreetFighterIV | 
Umihara Kawase Fresh! For AC | Umifresh | 
UNDER NIGHT IN-BIRTH Exe:Late[cl-r] APM3 Edition | UnderNightAPM3 | 
Under Night In-Birth | UnderNightInBirth | 
Under Night In-Birth Exe:Late[st] | UnderNightInBirthExeLatest | 
Vampire Savior: The Lord of Vampire for NESiCAxLive | VampireSavior | 
Virtua Fighter 3tb Online | VF3TB | 
Virtua Fighter 5 (Version B) | VF5B | 
Virtua Fighter 5 (Version C) | VF5C | 
Virtua Fighter esports | VF5Esports | 
Virtua Fighter 5 Final Showdown | VF5FS | 
Virtua Fighter 5 Final Showdown (APM3) | VF5FSapm3 | 
Virtua Fighter 5 R | VF5R | 
Valve Limit R | VirtuaRLimit | 
Virtua Striker 3 Ver. 2002 | VirtuaStriker3 | 
Virtua Striker 4 | VirtuaStriker4 | 
Vampire Night | vnight | 
Virtua Tennis 3 | VT3 | 
Virtua Tennis 3 (Elfloader2) | VT3ELF2 | 
Virtua Tennis 4 | VT4 | 
Wacky Races | WackyRaces | 
Wadaiko Master | wadaikomaster | 
Walking Dead | WalkingDead | 
Wangan Midnight | wanganmd | 
Wangan Midnight R | wanganmr | 
Wartran Troopers | WartranTroopers | 
Wasteland Racers 2071 | WastelandRacers | 
Wheel Of Fortune | WheelOfFortune | 
Wild West Shootout | WildWestShootout | 
Winning Eleven 08 | WinningEleven08 | 
Wangan Midnight Maximum Tune 3 | WMMT3 | 
Wangan Midnight Maximum Tune 3DX PLUS | WMMT3DXP | 
Wangan Midnight Maximum Tune 5 | WMMT5 | 
Wangan Midnight Maximum Tune 5DX | WMMT5DX | 
Wangan Midnight Maximum Tune 5DX+ | WMMT5DXPlus | 
Wangan Midnight Maximum Tune 6 | WMMT6 | 
Wangan Midnight Maximum Tune 6R | WMMT6R | 
Wangan Midnight Maximum Tune 6RR | WMMT6RR | 
Wonderland Wars | WonderlandWars | 
Xiyangyang | Xiyangyang | 
Yatagarasu | Yatagarasu | 
Yugioh 5DS Duel Terminal 6 (USA) | YugiohDT6U | 
Mobile Suit Z-Gundam: A.E.U.G. vs Titans | zgundm | 
Mobile Suit Z-Gundam: A.E.U.G. vs Titans DX | zgundmdx | 
Zoids Infinity EX Plus (ver. 2.10) | zoidiexp | 
Zoids Infinity | zoidsinf | 
